test_file,test_function,expected_result
test_addition.c,test_clear_overflow_max_plus_one,TRUE_POSITIVE
test_addition.c,test_clear_overflow_max_plus_large,TRUE_POSITIVE
test_addition.c,test_potential_overflow_unknown,TRUE_POSITIVE
test_addition.c,test_loop_overflow,TRUE_POSITIVE
test_addition.c,test_safe_small_constants,TRUE_NEGATIVE
test_addition.c,test_safe_negative,TRUE_NEGATIVE
test_addition.c,test_overflow_near_boundary,TRUE_POSITIVE
test_addition.c,test_safe_near_boundary,TRUE_NEGATIVE
test_multiplication.c,test_clear_overflow_max_times_two,TRUE_POSITIVE
test_multiplication.c,test_overflow_large_numbers,TRUE_POSITIVE
test_multiplication.c,test_safe_small_multiply,TRUE_NEGATIVE
test_subtraction.c,test_underflow_min_minus_one,TRUE_POSITIVE
test_subtraction.c,test_safe_subtraction,TRUE_NEGATIVE
test_division.c,test_division_by_zero,TRUE_POSITIVE
test_division.c,test_division_overflow,TRUE_POSITIVE
test_division.c,test_safe_division,TRUE_NEGATIVE
test_division.c,test_safe_negative_division,TRUE_NEGATIVE
test_division.c,test_potential_division_issue,TRUE_POSITIVE
test_division.c,test_large_division,TRUE_NEGATIVE
test_casting.c,test_cast_overflow_long_to_int,TRUE_POSITIVE
test_casting.c,test_safe_cast,TRUE_NEGATIVE
test_casting.c,test_unsigned_to_signed_overflow,TRUE_POSITIVE
test_casting.c,test_safe_unsigned_to_signed,TRUE_NEGATIVE
test_casting.c,test_char_to_int,TRUE_NEGATIVE
test_casting.c,test_int_to_short_overflow,TRUE_POSITIVE
test_casting.c,test_safe_int_to_short,TRUE_NEGATIVE
test_casting.c,test_arithmetic_then_cast,TRUE_POSITIVE
test_bitwise.c,test_left_shift_overflow,TRUE_POSITIVE
test_bitwise.c,test_safe_left_shift,TRUE_NEGATIVE
test_bitwise.c,test_right_shift,TRUE_NEGATIVE
test_bitwise.c,test_shift_by_negative,TRUE_POSITIVE
test_bitwise.c,test_shift_beyond_width,TRUE_POSITIVE
test_bitwise.c,test_safe_shift_constant,TRUE_NEGATIVE
test_bitwise.c,test_compound_shift_overflow,TRUE_POSITIVE
test_bitwise.c,test_bitwise_or,TRUE_NEGATIVE
test_complex.c,test_complex_expression_overflow,TRUE_POSITIVE
test_complex.c,test_safe_complex_expression,TRUE_NEGATIVE
test_complex.c,test_nested_arithmetic_overflow,TRUE_POSITIVE
test_complex.c,test_chained_operations,TRUE_POSITIVE
test_complex.c,test_safe_chained_operations,TRUE_NEGATIVE
test_complex.c,test_mixed_operations_overflow,TRUE_POSITIVE
test_complex.c,test_conditional_overflow,TRUE_POSITIVE
test_complex.c,test_array_index_overflow,TRUE_POSITIVE
test_complex.c,test_safe_array_index,TRUE_NEGATIVE
test_complex.c,test_pointer_arithmetic_overflow,TRUE_POSITIVE
test_modulo.c,test_modulo_by_zero,TRUE_POSITIVE
test_modulo.c,test_modulo_overflow,TRUE_POSITIVE
test_modulo.c,test_safe_modulo,TRUE_NEGATIVE
test_modulo.c,test_negative_modulo,TRUE_NEGATIVE
test_modulo.c,test_large_modulo,TRUE_NEGATIVE
test_modulo.c,test_unknown_modulo,TRUE_POSITIVE
